Tonasket,48.7077,-119.4412,1840021057
Sunnyside,46.3159,-120.0058,1840021150
Lakeview,47.3755,-119.5043,1840136062
Carbonado,47.0805,-122.0536,1840022307
Pullman,46.734,-117.1669,1840019864
Blyn,48.013,-122.9897,1840017318
Brinnon,47.6689,-122.9249,1840017329
Friday Harbor,48.5324,-123.0655,1840021065
Orchards,45.6888,-122.5305,1840018519
Purdy,47.3938,-122.6114,1840023838
Tekoa,47.2247,-117.0732,1840021135
Tanner,47.4813,-121.6921,1840037824
Thorp,47.0656,-120.6709,1840018439
Artondale,47.3024,-122.639,1840037617
Liberty Lake,47.6687,-117.1032,1840037678
Cheney,47.4901,-117.5789,1840018398
Sammamish,47.6019,-122.0419,1840021115
Cle Elum,47.1946,-120.9553,1840018440
Fern Prairie,45.637,-122.3963,1840023890
Waverly,47.338,-117.2312,1840022291
Lakewood,47.1628,-122.5299,1840019860
Lake Marcel-Stillwater,47.6926,-121.9152,1840074241
Central Park,46.9705,-123.7018,1840017358
Bridgeport,48.0063,-119.6737,1840018387
Raft Island,47.3293,-122.6686,1840042039
Larch Way,47.8429,-122.2527,1840041976
Lake Bosworth,48.0532,-121.9812,1840037850
Barberton,45.7136,-122.6114,1840017397
Sekiu,48.2637,-124.3012,1840025248
Brier,47.7922,-122.2734,1840018379
Spokane,47.6671,-117.433,1840021093
Fall City,47.5717,-121.9134,1840017342
Pasco,46.2506,-119.1303,1840019888
Lyman,48.523,-122.0634,1840021069
Oakville,46.8403,-123.2333,1840019848
Dash Point,47.3131,-122.4153,1840037637
Herron Island,47.2645,-122.8348,1840041931
West Clarkston-Highland,46.4023,-117.063,1840074702
Royal City,46.9,-119.6142,1840019816
Venersborg,45.786,-122.4721,1840018521
Hoquiam,46.9863,-123.9023,1840019845
Willapa,46.6755,-123.6648,1840025262
Quilcene,47.8369,-122.9058,1840018389
Freeland,48.0185,-122.5358,1840017317
McCleary,47.0584,-123.2723,1840019846
Roosevelt,45.7476,-120.2161,1840136623
Long Beach,46.3559,-124.0556,1840019880
Trout Lake,45.9976,-121.5291,1840024000
Coulee Dam,47.9688,-118.9761,1840022270
